,UniqueID,IndicatorID,Name,Measure,MeasureInfo,GeoTypeName,GeoJoinID,GeoPlaceName,Year,Season,Start_Date,DataValue,Total Noise Complaints,21 Collection Truck Noise,Banging/Pounding,Engine Idling,Noise:  lawn care equipment (NCL),"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)","Noise: Air Condition/Ventilation Equip, Residential (NJ1)",Noise: Construction Before/After Hours (NM1),Noise: Construction Equipment (NC1),Noise: Jack Hammering (NC2),Noise: Manufacturing Noise (NK1),Noise: Private Carting Noise (NQ1),Noise: Vehicle (NR2),Noise: air condition/ventilation equipment (NV1),Other,BoroCD,Population_19,MedHHIncome_19
0,169573,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,9.13,160,,63.0,14.0,12.0,,,51.0,7.0,4.0,2.0,,,5.0,2.0,503.0,164601,100602.5
1,166918,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,7.59,160,,63.0,14.0,12.0,,,51.0,7.0,4.0,2.0,,,5.0,2.0,503.0,164601,100602.5
2,216630,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,32.64,160,,63.0,14.0,12.0,,,51.0,7.0,4.0,2.0,,,5.0,2.0,503.0,164601,100602.5
3,547775,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2017,Winter,12/01/2016,6.87,422,5.0,136.0,17.0,3.0,,,86.0,20.0,7.0,2.0,1.0,,142.0,3.0,503.0,164601,100602.5
4,550167,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2017,Winter,12/01/2016,17.47,422,5.0,136.0,17.0,3.0,,,86.0,20.0,7.0,2.0,1.0,,142.0,3.0,503.0,164601,100602.5
5,606069,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,7.36,404,1.0,194.0,23.0,12.0,,,147.0,7.0,3.0,1.0,,,14.0,2.0,503.0,164601,100602.5
6,603108,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,6.25,404,1.0,194.0,23.0,12.0,,,147.0,7.0,3.0,1.0,,,14.0,2.0,503.0,164601,100602.5
7,605365,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,30.23,404,1.0,194.0,23.0,12.0,,,147.0,7.0,3.0,1.0,,,14.0,2.0,503.0,164601,100602.5
8,168511,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,9.07,107,1.0,45.0,18.0,,6.0,6.0,22.0,6.0,2.0,,1.0,,,,503.0,164601,100602.5
9,165856,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,16.69,107,1.0,45.0,18.0,,6.0,6.0,22.0,6.0,2.0,,1.0,,,,503.0,164601,100602.5
10,164971,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,0.98,107,1.0,45.0,18.0,,6.0,6.0,22.0,6.0,2.0,,1.0,,,,503.0,164601,100602.5
11,168688,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,9.6,162,2.0,67.0,29.0,3.0,,,41.0,6.0,1.0,2.0,,,10.0,1.0,503.0,164601,100602.5
12,166033,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,16.7,162,2.0,67.0,29.0,3.0,,,41.0,6.0,1.0,2.0,,,10.0,1.0,503.0,164601,100602.5
13,165148,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,0.39,162,2.0,67.0,29.0,3.0,,,41.0,6.0,1.0,2.0,,,10.0,1.0,503.0,164601,100602.5
14,169396,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,11.27,89,,27.0,9.0,,2.0,10.0,19.0,12.0,7.0,,3.0,,,,503.0,164601,100602.5
15,166741,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,9.42,89,,27.0,9.0,,2.0,10.0,19.0,12.0,7.0,,3.0,,,,503.0,164601,100602.5
16,216627,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,36.52,89,,27.0,9.0,,2.0,10.0,19.0,12.0,7.0,,3.0,,,,503.0,164601,100602.5
17,168570,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,11.52,80,1.0,33.0,15.0,,1.0,2.0,18.0,7.0,2.0,,1.0,,,,503.0,164601,100602.5
18,165915,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,20.41,80,1.0,33.0,15.0,,1.0,2.0,18.0,7.0,2.0,,1.0,,,,503.0,164601,100602.5
19,165030,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,1.52,80,1.0,33.0,15.0,,1.0,2.0,18.0,7.0,2.0,,1.0,,,,503.0,164601,100602.5
20,334358,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2015,Summer,06/01/2015,8.44,271,1.0,119.0,38.0,8.0,,,64.0,12.0,6.0,,1.0,,20.0,2.0,503.0,164601,100602.5
