,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
0,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-01,Micrograms/cubic meter (LC),1,100.0,34.9,34.9,0,99.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
1,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-02,Micrograms/cubic meter (LC),1,100.0,14.1,14.1,0,55.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
2,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,6.7,6.7,0,28.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
3,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,7.3,7.3,0,30.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
4,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,6.6,6.6,0,28.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
5,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,9.0,9.0,0,38.0,PS 19,PS 19    185 1ST AVENUE,New York
6,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,8.3,8.3,0,35.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
7,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,6.5,6.5,0,27.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
8,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,8.8,8.8,0,37.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
9,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-03,Micrograms/cubic meter (LC),1,100.0,7.1,7.1,0,30.0,JHS 126,JHS 126  424 LEONARD ST,Kings
10,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-04,Micrograms/cubic meter (LC),1,100.0,17.4,17.4,0,62.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
11,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-05,Micrograms/cubic meter (LC),1,100.0,10.5,10.5,0,44.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
12,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,16.0,16.0,0,59.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
13,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,15.4,15.4,0,58.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
14,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,18.0,18.0,0,63.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
15,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,15.6,15.6,0,58.0,JHS 126,JHS 126  424 LEONARD ST,Kings
16,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,16.6,16.6,0,60.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
17,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,15.5,15.5,0,58.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
18,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-06,Micrograms/cubic meter (LC),1,100.0,15.0,15.0,0,57.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
19,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-07,Micrograms/cubic meter (LC),1,100.0,20.5,20.5,0,69.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
20,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-08,Micrograms/cubic meter (LC),1,100.0,20.6,20.6,0,69.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
21,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,6.4,6.4,0,27.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
22,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,8.9,8.9,0,37.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
23,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,7.7,7.7,0,32.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
24,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,7.0,7.0,0,29.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
25,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,6.6,6.6,0,28.0,JHS 126,JHS 126  424 LEONARD ST,Kings
26,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,6.2,6.2,0,26.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
27,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,7.9,7.9,0,33.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
28,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,9.0,9.0,0,38.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
29,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,6.6,6.6,0,28.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
30,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-09,Micrograms/cubic meter (LC),1,100.0,10.0,10.0,0,42.0,PS 19,PS 19    185 1ST AVENUE,New York
31,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-10,Micrograms/cubic meter (LC),1,100.0,6.5,6.5,0,27.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
32,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-11,Micrograms/cubic meter (LC),1,100.0,9.2,9.2,0,38.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
33,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,11.9,11.9,0,50.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
34,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,10.5,10.5,0,44.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
35,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,10.8,10.8,0,45.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
36,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,10.0,10.0,0,42.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
37,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,9.1,9.1,0,38.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
38,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,12.7,12.7,0,52.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
39,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,14.8,14.8,0,57.0,PS 19,PS 19    185 1ST AVENUE,New York
40,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,11.2,11.2,0,47.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
41,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-12,Micrograms/cubic meter (LC),1,100.0,11.4,11.4,0,48.0,JHS 126,JHS 126  424 LEONARD ST,Kings
42,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-13,Micrograms/cubic meter (LC),1,100.0,3.9,3.9,0,16.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
43,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-14,Micrograms/cubic meter (LC),1,100.0,10.0,10.0,0,42.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
44,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,21.1,21.1,0,70.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
45,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,16.0,16.0,0,59.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
46,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,27.9,27.9,0,84.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
47,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,25.6,25.6,0,79.0,PS 19,PS 19    185 1ST AVENUE,New York
48,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,16.9,16.9,0,61.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
49,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,19.9,19.9,0,67.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
50,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,18.9,18.9,0,65.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
51,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,21.7,21.7,0,71.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
52,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-15,Micrograms/cubic meter (LC),1,100.0,9.3,9.3,0,39.0,JHS 126,JHS 126  424 LEONARD ST,Kings
53,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-16,Micrograms/cubic meter (LC),1,100.0,10.2,10.2,0,43.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
54,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-17,Micrograms/cubic meter (LC),1,100.0,6.9,6.9,0,29.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
55,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,8.2,8.2,0,34.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
56,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,9.2,9.2,0,38.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
57,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,12.6,12.6,0,52.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
58,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,8.8,8.8,0,37.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
59,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,9.3,9.3,0,39.0,JHS 126,JHS 126  424 LEONARD ST,Kings
60,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,8.5,8.5,0,35.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
61,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,15.7,15.7,0,59.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
62,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-18,Micrograms/cubic meter (LC),1,100.0,10.2,10.2,0,43.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
63,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-19,Micrograms/cubic meter (LC),1,100.0,14.8,14.8,0,57.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
64,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-20,Micrograms/cubic meter (LC),1,100.0,8.4,8.4,0,35.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
65,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,10.5,10.5,0,44.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
66,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,9.6,9.6,0,40.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
67,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,12.2,12.2,0,51.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
68,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,12.1,12.1,0,51.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
69,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,13.7,13.7,0,54.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
70,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,8.7,8.7,0,36.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
71,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,14.5,14.5,0,56.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
72,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-21,Micrograms/cubic meter (LC),1,100.0,11.5,11.5,0,48.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
73,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-22,Micrograms/cubic meter (LC),1,100.0,10.1,10.1,0,42.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
74,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-23,Micrograms/cubic meter (LC),1,100.0,13.6,13.6,0,54.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
75,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-24,Micrograms/cubic meter (LC),1,100.0,15.7,15.7,0,59.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
76,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-24,Micrograms/cubic meter (LC),1,100.0,14.2,14.2,0,55.0,PS 19,PS 19    185 1ST AVENUE,New York
