,Site Number,Parameter Code,Parameter Name,POC,Latitude,Longitude,Datum,Last Sample Date,Reporting Agency,PQAO,Collecting Agency,Monitoring Objective,Measurement Scale,Measurement Scale Definition,Local Site Name,Address,City Name,Extraction Date
207924,80,42602,Nitrogen dioxide (NO2),1,40.836059999999996,-73.92009,WGS84,2000-05-02,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,HIGHEST CONCENTRATION,NEIGHBORHOOD,500 M TO 4KM,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,2020-11-24
207964,80,44201,Ozone,1,40.836059999999996,-73.92009,WGS84,2000-05-02,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,HIGHEST CONCENTRATION,NEIGHBORHOOD,500 M TO 4KM,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,2020-11-24
208040,80,88101,PM2.5 - Local Conditions,1,40.836059999999996,-73.92009,WGS84,2012-06-02,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,,,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,2020-11-24
208630,110,42602,Nitrogen dioxide (NO2),1,40.816,-73.902,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,GENERAL/BACKGROUND; POPULATION EXPOSURE,URBAN SCALE,4 KM TO 50 KM,IS 52,IS 52    681 KELLY ST,New York,2020-11-24
208780,110,44201,Ozone,1,40.816,-73.902,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,GENERAL/BACKGROUND; POPULATION EXPOSURE,URBAN SCALE,4 KM TO 50 KM,IS 52,IS 52    681 KELLY ST,New York,2020-11-24
208961,110,88101,PM2.5 - Local Conditions,1,40.816,-73.902,WGS84,2020-08-29,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,NEIGHBORHOOD,500 M TO 4KM,IS 52,IS 52    681 KELLY ST,New York,2020-11-24
208962,110,88101,PM2.5 - Local Conditions,2,40.816,-73.902,WGS84,2010-06-16,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,QUALITY ASSURANCE,NEIGHBORHOOD,500 M TO 4KM,IS 52,IS 52    681 KELLY ST,New York,2020-11-24
208963,110,88101,PM2.5 - Local Conditions,4,40.816,-73.902,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,NEIGHBORHOOD,500 M TO 4KM,IS 52,IS 52    681 KELLY ST,New York,2020-11-24
209133,133,42602,Nitrogen dioxide (NO2),1,40.8679,-73.87809,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,URBAN SCALE,4 KM TO 50 KM,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,2020-11-24
209290,133,44201,Ozone,1,40.8679,-73.87809,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,URBAN SCALE,4 KM TO 50 KM,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,2020-11-24
