,year,season,BoroCD,Unique Key
0,2010,summer,101.0,70
1,2010,summer,102.0,134
2,2010,summer,103.0,124
3,2010,summer,104.0,146
4,2010,summer,105.0,151
5,2010,summer,106.0,137
6,2010,summer,107.0,223
7,2010,summer,108.0,188
8,2010,summer,109.0,77
9,2010,summer,110.0,77
10,2010,summer,111.0,42
11,2010,summer,112.0,113
12,2010,summer,164.0,3
13,2010,summer,201.0,25
14,2010,summer,202.0,12
15,2010,summer,203.0,11
16,2010,summer,204.0,41
17,2010,summer,205.0,34
18,2010,summer,206.0,35
19,2010,summer,207.0,45
20,2010,summer,208.0,49
21,2010,summer,209.0,34
22,2010,summer,210.0,22
23,2010,summer,211.0,30
24,2010,summer,212.0,47
25,2010,summer,301.0,103
26,2010,summer,302.0,88
27,2010,summer,303.0,47
28,2010,summer,304.0,55
29,2010,summer,305.0,30
30,2010,summer,306.0,89
31,2010,summer,307.0,59
32,2010,summer,308.0,33
33,2010,summer,309.0,29
34,2010,summer,310.0,29
35,2010,summer,311.0,32
36,2010,summer,312.0,85
37,2010,summer,313.0,40
38,2010,summer,314.0,45
39,2010,summer,315.0,50
40,2010,summer,316.0,8
41,2010,summer,317.0,38
42,2010,summer,318.0,37
43,2010,summer,355.0,2
44,2010,summer,401.0,43
45,2010,summer,402.0,44
46,2010,summer,403.0,36
47,2010,summer,404.0,27
48,2010,summer,405.0,58
49,2010,summer,406.0,66
50,2010,summer,407.0,57
51,2010,summer,408.0,28
52,2010,summer,409.0,26
53,2010,summer,410.0,31
54,2010,summer,411.0,33
55,2010,summer,412.0,34
56,2010,summer,413.0,24
57,2010,summer,414.0,19
58,2010,summer,482.0,1
59,2010,summer,501.0,42
60,2010,summer,502.0,30
61,2010,summer,503.0,36
62,2010,winter,101.0,61
63,2010,winter,102.0,153
64,2010,winter,103.0,104
65,2010,winter,104.0,165
66,2010,winter,105.0,181
67,2010,winter,106.0,174
68,2010,winter,107.0,265
69,2010,winter,108.0,223
70,2010,winter,109.0,51
71,2010,winter,110.0,54
72,2010,winter,111.0,49
73,2010,winter,112.0,118
74,2010,winter,164.0,7
75,2010,winter,201.0,11
76,2010,winter,202.0,22
77,2010,winter,203.0,12
78,2010,winter,204.0,40
79,2010,winter,205.0,35
80,2010,winter,206.0,17
81,2010,winter,207.0,49
82,2010,winter,208.0,46
83,2010,winter,209.0,17
84,2010,winter,210.0,24
85,2010,winter,211.0,34
86,2010,winter,212.0,26
87,2010,winter,301.0,111
88,2010,winter,302.0,61
89,2010,winter,303.0,37
90,2010,winter,304.0,46
91,2010,winter,305.0,32
92,2010,winter,306.0,101
93,2010,winter,307.0,35
94,2010,winter,308.0,26
95,2010,winter,309.0,23
96,2010,winter,310.0,41
97,2010,winter,311.0,37
98,2010,winter,312.0,34
99,2010,winter,313.0,31
100,2010,winter,314.0,24
101,2010,winter,315.0,30
102,2010,winter,316.0,9
103,2010,winter,317.0,14
104,2010,winter,318.0,21
105,2010,winter,355.0,3
106,2010,winter,401.0,64
107,2010,winter,402.0,47
108,2010,winter,403.0,21
109,2010,winter,404.0,20
110,2010,winter,405.0,49
111,2010,winter,406.0,48
112,2010,winter,407.0,55
113,2010,winter,408.0,14
114,2010,winter,409.0,12
115,2010,winter,410.0,23
116,2010,winter,411.0,21
117,2010,winter,412.0,30
118,2010,winter,413.0,17
119,2010,winter,414.0,15
120,2010,winter,480.0,1
121,2010,winter,501.0,46
122,2010,winter,502.0,18
123,2010,winter,503.0,33
124,2011,summer,101.0,89
125,2011,summer,102.0,158
126,2011,summer,103.0,139
127,2011,summer,104.0,105
128,2011,summer,105.0,116
129,2011,summer,106.0,157
130,2011,summer,107.0,218
131,2011,summer,108.0,170
132,2011,summer,109.0,41
133,2011,summer,110.0,56
134,2011,summer,111.0,50
135,2011,summer,112.0,89
136,2011,summer,164.0,2
137,2011,summer,201.0,16
138,2011,summer,202.0,12
139,2011,summer,203.0,12
140,2011,summer,204.0,22
141,2011,summer,205.0,33
142,2011,summer,206.0,26
143,2011,summer,207.0,29
144,2011,summer,208.0,32
145,2011,summer,209.0,32
146,2011,summer,210.0,10
147,2011,summer,211.0,36
148,2011,summer,212.0,38
149,2011,summer,301.0,117
150,2011,summer,302.0,84
151,2011,summer,303.0,53
152,2011,summer,304.0,70
153,2011,summer,305.0,45
154,2011,summer,306.0,84
155,2011,summer,307.0,52
156,2011,summer,308.0,50
157,2011,summer,309.0,30
158,2011,summer,310.0,33
159,2011,summer,311.0,31
160,2011,summer,312.0,27
161,2011,summer,313.0,40
162,2011,summer,314.0,57
163,2011,summer,315.0,71
164,2011,summer,316.0,7
165,2011,summer,317.0,32
166,2011,summer,318.0,19
167,2011,summer,355.0,4
168,2011,summer,401.0,54
169,2011,summer,402.0,42
170,2011,summer,403.0,34
171,2011,summer,404.0,18
