,year,season,BoroCD,Descriptor,Unique Key
0,2010,summer,101.0,"Air: Dust, Commercial (AE2)",3
1,2010,summer,101.0,"Air: Dust, Construction/Demolition (AE4)",11
2,2010,summer,101.0,"Air: Dust, Residential (AE1)",1
3,2010,summer,101.0,"Air: Odor/Fumes, Dry Cleaners (AD1)",1
4,2010,summer,101.0,"Air: Odor/Fumes, Private Carting (AD4)",1
5,2010,summer,101.0,"Air: Odor/Fumes, Restaurant (AD2)",22
6,2010,summer,101.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",18
7,2010,summer,101.0,Air: Other Air Problem (Use Comments) (AZZ),1
8,2010,summer,101.0,"Air: Smoke, Commercial (AA2)",5
9,2010,summer,101.0,"Air: Smoke, Other (Use Comments) (AA5)",4
10,2010,summer,101.0,"Air: Smoke, Residential (AA1)",2
11,2010,summer,101.0,"Air: Smoke, Vehicular (AA4)",1
12,2010,summer,102.0,"Air: Dust, Construction/Demolition (AE4)",17
13,2010,summer,102.0,"Air: Dust, Residential (AE1)",6
14,2010,summer,102.0,"Air: Odor/Fumes, Restaurant (AD2)",33
15,2010,summer,102.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",45
16,2010,summer,102.0,"Air: Open Fire, Construction/Demolition (AC4)",1
17,2010,summer,102.0,Air: Other Air Problem (Use Comments) (AZZ),6
18,2010,summer,102.0,"Air: Smoke, Commercial (AA2)",6
19,2010,summer,102.0,"Air: Smoke, Other (Use Comments) (AA5)",4
20,2010,summer,102.0,"Air: Smoke, Residential (AA1)",16
21,2010,summer,103.0,"Air: Dust, Construction/Demolition (AE4)",12
22,2010,summer,103.0,"Air: Dust, Residential (AE1)",1
23,2010,summer,103.0,"Air: Odor/Fumes, Private Carting (AD4)",1
24,2010,summer,103.0,"Air: Odor/Fumes, Restaurant (AD2)",35
25,2010,summer,103.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",44
26,2010,summer,103.0,Air: Other Air Problem (Use Comments) (AZZ),2
27,2010,summer,103.0,"Air: Smoke, Commercial (AA2)",12
28,2010,summer,103.0,"Air: Smoke, Other (Use Comments) (AA5)",1
29,2010,summer,103.0,"Air: Smoke, Residential (AA1)",14
30,2010,summer,103.0,"Air: Smoke, Vehicular (AA4)",1
31,2010,summer,103.0,"Air: Soot, Other (Use Comments) (AB4)",1
32,2010,summer,104.0,"Air: Dust, Commercial (AE2)",3
33,2010,summer,104.0,"Air: Dust, Construction/Demolition (AE4)",8
34,2010,summer,104.0,"Air: Odor, Nail Salon (AD8)",1
35,2010,summer,104.0,"Air: Odor/Fumes, Private Carting (AD4)",2
36,2010,summer,104.0,"Air: Odor/Fumes, Restaurant (AD2)",34
37,2010,summer,104.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",37
38,2010,summer,104.0,Air: Other Air Problem (Use Comments) (AZZ),5
39,2010,summer,104.0,"Air: Smoke, Commercial (AA2)",17
40,2010,summer,104.0,"Air: Smoke, Other (Use Comments) (AA5)",4
41,2010,summer,104.0,"Air: Smoke, Residential (AA1)",33
42,2010,summer,104.0,"Air: Smoke, Vehicular (AA4)",1
43,2010,summer,104.0,"Air: Soot, Other (Use Comments) (AB4)",1
44,2010,summer,105.0,"Air: Dust, Commercial (AE2)",4
45,2010,summer,105.0,"Air: Dust, Construction/Demolition (AE4)",14
46,2010,summer,105.0,"Air: Dust, Residential (AE1)",1
47,2010,summer,105.0,"Air: Odor/Fumes, Private Carting (AD4)",3
48,2010,summer,105.0,"Air: Odor/Fumes, Restaurant (AD2)",44
49,2010,summer,105.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",36
50,2010,summer,105.0,"Air: Open Fire, Commercial (AC2)",1
51,2010,summer,105.0,"Air: Open Fire, Construction/Demolition (AC4)",1
52,2010,summer,105.0,Air: Other Air Problem (Use Comments) (AZZ),4
53,2010,summer,105.0,"Air: Smoke, Commercial (AA2)",13
54,2010,summer,105.0,"Air: Smoke, Other (Use Comments) (AA5)",6
55,2010,summer,105.0,"Air: Smoke, Residential (AA1)",21
56,2010,summer,105.0,"Air: Smoke, Vehicular (AA4)",1
57,2010,summer,105.0,"Air: Soot, Other (Use Comments) (AB4)",2
58,2010,summer,106.0,"Air: Dust, Commercial (AE2)",1
59,2010,summer,106.0,"Air: Dust, Construction/Demolition (AE4)",13
60,2010,summer,106.0,"Air: Dust, Residential (AE1)",4
61,2010,summer,106.0,"Air: Odor/Fumes, Dry Cleaners (AD1)",1
62,2010,summer,106.0,"Air: Odor/Fumes, Restaurant (AD2)",38
63,2010,summer,106.0,"Air: Odor/Fumes, Vehicle Idling (AD3)",30
64,2010,summer,106.0,Air: Other Air Problem (Use Comments) (AZZ),3
65,2010,summer,106.0,"Air: Smoke, Commercial (AA2)",3
66,2010,summer,106.0,"Air: Smoke, Other (Use Comments) (AA5)",2
67,2010,summer,106.0,"Air: Smoke, Residential (AA1)",40
